,0
0,812
1,659
2,4
3,268
4,616
5,701
6,581
7,-1588
8,586
9,934
10,697
11,-374
12,549
13,-524
14,1286
15,467
16,373
17,749
18,515
19,-477
20,-388
21,1011
22,-145
23,158
24,926
25,723
26,1042
27,909
28,262
29,-693
30,562
31,853
32,544
33,158
34,401
35,-70
36,-3574
37,542
38,-346
39,229
40,910
41,900
42,1128
43,379
44,-308
45,782
46,-7038
47,1206
48,-136
49,365
50,1092
51,94
52,351
53,150
54,18
55,656
56,472
57,370
58,1121
59,782
60,1103
61,353
62,1270
63,938
64,402
65,-1030
66,346
67,61
68,299
69,1144
70,1385
71,1149
72,1126
73,1114
74,765
75,1075
76,93
77,617
78,637
79,936
80,-177
81,1085
82,876
83,833
84,479
85,1049
86,377
87,1369
88,525
89,1173
90,1012
91,1217
92,73
93,549
94,-670
95,457
96,480
97,1319
98,1176
99,182
100,892
101,824
102,1021
103,1125
104,1104
105,-417
106,24
107,698
108,-36
109,849
110,346
111,420
112,1513
113,712
114,1046
115,998
116,1185
117,268
118,-1051
119,741
120,1016
121,1449
122,718
123,1109
124,1362
125,519
126,982
127,315
128,-188
129,883
130,33
131,904
132,1313
133,977
134,613
135,678
136,1052
137,1012
138,333
139,1199
140,427
141,719
142,1055
143,305
144,1339
145,1027
146,1001
147,1413
148,184
149,303
150,506
151,927
152,1015
153,1158
154,506
155,1365
156,330
157,1212
158,52
159,700
160,358
161,1153
162,1113
163,812
164,680
165,529
166,779
167,718
168,1029
169,1477
170,1245
171,420
172,303
173,24
174,136
175,989
176,1190
177,945
178,701
179,1248
180,791
181,301
182,961
183,460
184,945
185,298
186,1267
187,661
188,325
189,1264
190,603
191,1073
192,1028
193,1072
194,930
195,830
196,975
197,974
198,607
199,430
200,1280
201,730
202,1116
203,1164
204,801
205,438
206,1485
207,1238
208,525
209,729
210,912
211,1166
212,654
213,806
214,981
215,1002
216,1671
217,866
218,1091
219,1187
220,412
221,1021
222,1108
223,1038
224,943
225,1087
226,1017
227,1081
228,324
229,1181
230,898
231,958
232,872
233,955
234,1213
235,1255
236,614
237,1292
238,951
239,1105
240,1106
241,668
242,-537
243,1022
244,550
245,706
246,662
247,938
248,671
249,1281
250,967
251,988
252,984
253,1142
254,1227
255,1295
256,504
257,998
258,842
259,426
260,945
261,588
262,556
263,1146
264,806
265,667
266,694
267,1052
268,1123
269,645
270,1313
271,1177
272,920
273,1165
274,534
275,984
276,762
277,827
278,772
279,874
280,1134
281,1211
282,1382
283,-472
284,598
285,1313
286,761
287,-285
288,1177
289,297
290,776
291,1199
292,688
293,749
294,672
295,1297
296,1267
297,1153
298,1042
299,1062
300,1080
301,281
302,782
303,1160
304,1208
305,946
306,-78
307,1202
308,555
309,1037
310,1161
311,1160
312,1326
313,1003
314,1206
315,1227
316,1188
317,719
318,1368
319,1064
320,1046
321,1311
322,630
323,994
324,860
325,468
326,261
327,-43
328,169
329,1210
330,870
331,1091
332,1016
333,423
334,885
335,1313
336,1054
337,1207
338,791
339,825
340,829
341,746
342,897
343,1221
344,779
345,1248
346,626
347,535
348,1201
349,1039
350,1334
351,1079
352,834
353,790
354,610
355,1041
356,1220
357,907
358,647
359,1381
360,978
361,821
362,871
363,1142
364,993
365,958
366,1072
367,625
368,413
369,98
370,817
371,866
372,1133
373,695
374,970
375,953
376,697
377,904
378,815
379,1007
380,1110
381,625
382,1015
383,756
384,1174
385,934
386,1022
387,1123
388,1326
389,1080
390,1052
391,750
392,951
393,729
394,1048
395,874
396,1065
397,875
398,1042
399,1210
400,1094
401,694
402,978
403,338
404,1105
405,1071
406,637
407,873
408,1032
409,1347
410,1414
411,1175
412,824
413,694
414,1081
415,990
416,624
417,931
418,1166
419,878
420,1138
421,1100
422,1030
423,1089
424,1159
425,1239
426,756
427,898
428,1099
429,1042
430,982
431,672
432,1171
433,980
434,1332
435,982
436,984
437,879
438,1328
439,1287
440,873
441,895
442,987
443,776
444,595
445,818
446,974
447,765
448,758
449,894
450,1121
451,1035
452,927
453,1158
454,1039
455,594
456,605
457,953
458,630
459,905
460,887
461,833
462,799
463,858
464,974
465,1199
466,1130
467,948
468,881
469,945
470,851
471,1024
472,623
473,1188
474,969
475,1036
476,1297
477,1408
478,996
479,686
480,1327
481,979
482,1055
483,1069
484,1171
485,1371
486,906
487,850
488,479
489,644
490,571
491,1056
492,1083
493,1083
494,748
495,842
496,953
497,1027
498,933
499,1091
500,947
501,577
502,967
503,1153
504,1336
505,1046
506,641
507,1027
508,1189
509,934
510,1001
511,799
512,853
513,1155
514,872
515,1314
516,872
517,964
518,615
519,1032
520,896
521,870
522,899
523,1096
524,904
525,860
526,811
527,790
528,1162
529,867
530,1066
531,931
532,745
533,883
534,1135
535,1088
536,590
537,1199
538,946
539,787
540,1055
541,863
542,1070
543,802
544,931
545,661
546,965
547,980
548,262
549,602
550,654
551,628
552,1126
553,868
554,966
555,715
556,36
557,747
558,857
559,1043
560,1320
561,917
562,862
563,862
564,979
565,1062
566,646
567,960
568,1050
569,1054
570,636
571,669
572,1017
573,1003
574,498
575,941
576,635
577,697
578,941
579,600
580,1014
581,848
582,737
583,833
584,924
585,890
586,479
587,886
588,897
589,1065
590,814
591,848
592,829
593,624
594,563
595,467
596,934
597,731
598,752
599,771
600,892
601,1016
602,869
603,685
604,925
605,489
606,695
607,796
608,-6
609,777
610,800
611,800
612,792
613,816
614,579
615,995
616,960
617,563
618,823
619,821
620,937
621,1095
622,627
623,768
624,848
625,976
626,845
627,900
628,683
629,871
630,993
631,1127
632,796
633,1172
634,663
635,932
636,800
637,839
638,1071
639,690
640,796
641,921
642,863
643,511
644,1073
645,950
646,751
647,792
648,565
649,1067
650,787
651,1159
652,594
653,967
654,733
655,1017
656,706
657,1138
658,866
659,937
660,931
661,1132
662,456
663,1056
664,900
665,751
666,589
667,579
668,1013
669,895
670,794
671,669
672,1206
673,1019
674,1076
675,1152
676,1023
677,852
678,1006
679,1045
680,986
681,961
682,739
683,314
684,1132
685,977
686,807
687,545
688,1029
689,473
690,1119
691,-198
692,936
693,685
694,647
695,1199
696,759
697,542
698,845
699,703
700,1000
701,973
702,965
703,398
704,1173
705,828
706,879
707,989
708,921
709,843
710,685
711,837
712,663
713,905
714,997
715,675
716,884
717,771
718,923
719,926
720,1152
721,634
722,819
723,770
724,835
725,592
726,949
727,929
728,1044
729,856
730,1032
731,1035
732,709
733,1081
734,835
735,993
736,1124
737,787
738,999
739,1068
740,894
741,860
742,1229
743,931
744,739
745,783
746,817
747,735
748,872
749,1112
750,638
751,581
752,992
753,537
754,966
755,986
756,957
757,1244
758,948
759,887
760,715
761,886
762,1090
763,774
764,441
765,770
766,471
