,0
0,-5716
1,-7064
2,-20819
3,-21881
4,257
5,371
6,528
7,358
8,424
9,383
10,388
11,184
12,245
13,330
14,149
15,239
16,234
17,234
18,221
19,274
20,166
21,229
22,245
23,241
24,233
25,347
26,270
27,324
28,308
29,243
30,198
31,441
32,216
33,398
34,253
35,202
36,259
37,227
38,292
39,306
40,222
41,358
42,363
43,214
44,409
45,345
46,380
47,234
48,169
49,528
50,126
51,325
52,302
53,422
54,374
55,234
56,237
57,472
58,405
59,485
60,531
61,464
62,319
63,504
64,378
65,431
66,277
67,636
68,412
69,303
70,339
71,503
72,410
73,544
74,587
75,512
76,406
77,461
78,440
79,339
80,427
81,538
82,651
83,531
84,330
85,455
86,666
87,538
88,461
89,456
90,519
91,697
92,245
93,652
94,625
95,476
96,589
97,357
98,654
99,645
100,514
101,631
102,710
103,474
104,461
105,371
106,750
107,716
108,388
109,531
110,555
111,737
112,620
113,549
114,656
115,630
116,637
117,577
118,585
119,768
120,699
121,605
122,638
123,577
124,643
125,1018
126,668
127,390
128,695
129,604
130,636
131,645
132,575
133,564
134,772
135,633
136,478
137,657
138,449
139,661
140,594
141,726
142,654
143,455
144,669
145,716
146,787
147,567
148,681
149,599
150,624
151,477
152,806
153,389
154,382
155,586
156,492
157,757
158,635
159,519
160,704
161,409
162,454
163,548
164,729
165,852
166,489
167,755
168,644
169,902
170,806
171,522
172,796
173,717
174,573
175,823
176,703
177,777
178,558
179,935
180,687
181,768
182,574
183,409
184,571
185,689
186,844
187,633
188,674
189,522
190,719
191,781
192,808
193,495
194,570
195,531
196,644
197,729
198,624
199,745
200,437
201,782
202,563
203,556
204,627
205,686
206,666
207,598
208,635
209,788
210,599
211,763
212,620
213,866
214,726
215,758
216,737
217,924
218,611
219,768
220,744
221,515
222,698
223,696
224,532
225,826
226,613
227,935
228,830
229,628
230,599
231,665
232,757
233,660
234,718
235,731
236,760
237,643
238,497
239,522
240,524
241,582
242,592
243,652
244,587
245,646
246,731
247,901
248,608
249,778
250,699
251,642
252,678
253,563
254,730
255,629
256,746
257,578
258,755
259,814
260,839
261,627
262,620
263,892
264,920
265,641
266,884
267,647
268,699
269,757
270,794
271,643
272,837
273,610
274,689
275,716
276,517
277,703
278,617
279,697
280,849
281,584
282,783
283,809
284,515
285,669
286,847
287,731
288,819
289,655
290,600
291,604
292,617
293,776
294,964
295,1112
296,440
297,691
298,583
299,856
300,699
301,837
302,718
303,733
304,759
305,668
306,594
307,457
308,572
309,734
310,854
311,762
312,467
313,654
314,900
315,412
316,689
317,650
318,616
319,637
320,921
321,435
322,705
323,882
324,885
325,793
326,1102
327,824
328,669
329,467
330,599
331,1009
332,907
333,609
334,652
335,677
336,639
337,578
338,880
339,824
340,706
341,669
342,663
343,735
344,476
345,767
346,695
347,598
348,710
349,805
350,531
351,691
352,699
353,928
354,910
355,638
356,699
357,620
358,733
359,856
360,588
361,686
362,561
363,638
364,723
365,671
366,585
367,751
368,667
369,615
370,444
371,754
372,663
373,622
374,731
375,675
376,700
377,791
378,886
379,587
380,968
381,960
382,874
383,629
384,728
385,857
386,830
387,814
388,729
389,619
390,489
391,869
392,755
393,926
394,538
395,747
396,814
397,729
398,831
399,831
400,853
401,817
402,608
403,663
404,1099
405,663
406,824
407,573
408,700
409,746
410,799
411,895
412,688
413,693
414,777
415,854
416,731
417,651
418,459
419,661
420,727
421,514
422,608
423,723
424,774
425,782
426,931
427,805
428,601
429,585
430,688
431,648
432,687
433,551
434,588
435,617
436,902
437,570
438,784
439,759
440,631
441,763
442,1082
443,645
444,741
445,620
446,742
447,830
448,790
449,694
450,670
451,672
452,541
453,776
454,833
455,524
456,687
457,683
458,855
459,667
460,831
461,642
462,893
463,664
464,633
465,895
466,890
467,732
468,747
469,783
470,743
471,664
472,663
473,691
474,814
475,803
476,640
477,493
478,619
479,678
480,690
481,924
482,613
483,725
484,636
485,593
486,585
487,750
488,729
489,716
490,905
491,871
492,700
493,771
494,704
495,648
496,863
497,699
498,921
499,879
