,0
0,-11354
1,-1698
2,-15681
3,-20123
4,-28260
5,-12671
6,140
7,948
8,642
9,340
10,-7954
11,-9121
12,-8609
13,-322
14,811
15,-6491
16,16
17,81
18,-7378
19,-366
20,89
21,-575
22,-793
23,-978
24,-6885
25,-7092
26,-206
27,-929
28,-8017
29,-814
30,-6036
31,-517
32,-329
33,298
34,-3742
35,-448
36,-303
37,171
38,342
39,35
40,-288
41,31
42,-510
43,-359
44,744
45,843
46,123
47,39
48,83
49,800
50,1180
51,946
52,1316
53,-94
54,1170
55,989
56,198
57,303
58,100
59,736
60,826
61,1157
62,-471
63,568
64,1044
65,773
66,895
67,1145
68,612
69,571
70,-772
71,-602
72,855
73,149
74,1301
75,1177
76,218
77,916
78,569
79,1217
80,926
81,1170
82,0
83,-6468
84,832
85,867
86,1056
87,-8386
88,-8648
89,-839
90,1129
91,1231
92,-1413
93,-7038
94,679
95,1107
96,973
97,1299
98,1556
99,884
100,254
101,418
102,1239
103,1166
104,327
105,1374
106,85
107,1268
108,993
109,825
110,1506
111,1314
112,823
113,789
114,-148
115,1304
116,894
117,1719
118,1415
119,716
120,666
121,1229
122,1485
123,1101
124,953
125,1082
126,1056
127,1447
128,926
129,867
130,1428
131,1105
132,1093
133,1086
134,1171
135,744
136,1256
137,823
138,438
139,835
140,1159
141,1284
142,1006
143,955
144,1317
145,1279
146,323
147,1045
148,1328
149,1318
150,1402
151,1254
152,1287
153,1214
154,790
155,1119
156,1290
157,671
158,1152
159,884
160,1486
161,1147
162,754
163,1345
164,1044
165,1210
166,981
167,1242
168,1180
169,1400
170,1159
171,570
172,1171
173,807
174,1466
175,666
176,1205
177,1011
178,1259
179,1314
180,1317
181,757
182,1095
183,1125
184,1100
185,1102
186,558
187,1134
188,636
189,1128
190,1149
191,1212
192,1283
193,1176
194,1266
195,961
196,993
197,1284
198,896
199,981
200,1314
201,995
202,1177
203,1383
204,1103
205,1086
206,1359
207,1029
208,611
209,1364
210,987
211,887
212,1220
213,1196
214,1179
215,1181
216,1262
217,1154
218,174
219,1018
220,814
221,1087
222,1044
223,1032
224,815
225,1368
226,1181
227,1241
228,1195
229,1287
230,1428
231,529
232,937
233,1159
234,1029
235,987
236,1423
237,1200
238,1192
239,611
240,1345
241,1234
242,1015
243,1165
244,1175
245,533
246,1006
247,768
248,1236
249,1225
250,692
251,1117
252,1317
253,1483
254,823
255,1169
256,1143
257,1371
258,1311
259,1223
260,1307
261,1023
262,1433
263,1009
264,729
265,754
266,1228
267,973
268,1289
269,1403
270,-544
271,977
272,1361
273,591
274,1286
275,951
276,1291
277,54
278,1446
279,1492
280,801
281,1347
282,1235
283,1185
284,900
285,1221
286,1193
287,1071
288,1288
289,1178
290,1452
291,1082
292,1375
293,1101
294,1161
295,607
296,735
297,956
298,1299
299,623
300,1375
301,383
302,903
303,1066
304,1334
305,1235
306,1384
307,1051
308,865
309,1192
310,1377
311,1284
312,1095
313,1423
314,837
315,366
316,1253
317,1341
318,1033
319,1257
320,1516
321,1397
322,1019
323,958
324,1115
325,1436
326,939
327,-936
328,966
329,1258
330,1358
331,921
332,1379
333,911
334,270
335,1062
336,1378
337,1143
338,1173
339,1168
340,780
341,479
342,1426
343,1375
344,1211
345,1295
346,740
347,501
348,659
349,1081
350,1089
351,706
352,557
353,1253
354,763
355,1284
356,1102
357,980
358,1127
359,1209
360,1230
361,1469
362,1326
363,982
364,749
365,1376
366,577
367,768
368,1254
369,1213
370,945
371,1111
372,1028
373,1319
374,969
375,777
376,1174
377,1010
378,1200
379,1125
380,1275
381,1294
382,1108
383,1293
384,1329
385,1198
386,966
387,1251
388,1219
389,1225
390,785
391,1399
392,1294
393,847
394,1589
395,925
396,1002
397,1022
398,973
399,1033
400,1203
401,1486
402,1247
403,1301
404,1422
405,1032
406,1224
407,1381
408,1201
409,900
410,1131
411,1168
412,570
413,990
414,910
415,564
416,1234
417,1004
418,828
419,1064
420,1470
421,1103
422,1281
423,1301
424,974
425,996
426,1293
427,1343
428,1188
429,1067
430,707
431,1338
432,1120
433,1232
434,1162
435,1122
436,946
437,1187
438,1227
439,1088
440,1174
441,761
442,1096
443,1279
444,1204
445,1340
446,1224
447,805
448,1408
449,1218
450,1151
451,1210
452,1035
453,1146
454,1128
455,870
456,1067
457,1120
458,1096
459,1040
460,980
461,890
462,818
463,1070
464,1400
465,1214
466,766
467,1047
468,966
469,1102
470,1187
471,967
472,829
473,1055
474,1035
475,925
476,1075
477,843
478,855
479,1069
480,936
481,1154
482,1123
483,1093
484,1171
485,857
486,852
487,1250
488,1042
489,801
490,1169
491,1046
492,342
493,861
494,1136
495,985
496,1201
497,1088
498,838
499,1119
500,996
501,1033
502,1103
503,1051
504,992
505,1199
506,1139
507,615
508,1024
509,699
510,932
511,1209
512,1188
513,1173
514,1103
515,1175
516,1222
517,1065
518,826
519,1096
520,976
521,835
522,1039
523,1020
524,1059
525,965
526,1114
527,989
528,1000
529,841
530,1243
531,1164
532,792
533,986
534,1031
535,950
536,859
537,605
538,1130
539,844
540,964
541,1026
542,663
543,1058
544,1176
545,731
546,1119
547,1260
548,1114
549,791
550,1074
551,1467
552,1292
553,1037
554,1038
555,975
556,1020
557,1244
558,907
559,1363
560,1061
561,1170
562,1108
563,1143
564,1198
