,0
0,-2153
1,-7356
2,-14422
3,-25108
4,-7519
5,-11374
6,-29135
7,-11172
8,-1618
9,-3448
10,-13212
11,-889
12,-2648
13,-1524
14,-2214
15,-4137
16,-3931
17,-4026
18,-4655
19,-2961
20,-3274
21,-1580
22,-1594
23,-1804
24,-6462
25,-3547
26,-2889
27,-2965
28,-4518
29,-2448
30,-619
31,-2426
32,-984
33,-8657
34,-4152
35,519
36,-2908
37,507
38,108
39,-7
40,-395
41,-172
42,770
43,-22
44,981
45,45
46,682
47,1394
48,1060
49,879
50,1108
51,955
52,567
53,954
54,1111
55,624
56,793
57,847
58,721
59,944
60,809
61,935
62,25
63,893
64,710
65,857
66,703
67,1019
68,1208
69,225
70,984
71,1145
72,700
73,1005
74,881
75,881
76,957
77,808
78,1215
79,555
80,1554
81,813
82,982
83,974
84,738
85,948
86,1195
87,745
88,1099
89,989
90,1223
91,450
92,1101
93,1045
94,1043
95,461
96,1177
97,710
98,964
99,854
100,856
101,895
102,853
103,998
104,730
105,772
106,990
107,970
108,978
109,836
110,767
111,636
112,653
113,903
114,1034
115,1054
116,716
117,871
118,576
119,936
120,1122
121,972
122,991
123,875
124,1153
125,895
126,881
127,887
128,1031
129,870
130,877
131,712
132,1033
133,991
134,643
135,826
136,933
137,569
138,838
139,786
140,598
141,1154
142,759
143,954
144,832
145,1119
146,922
147,1000
148,850
149,767
150,993
151,915
152,978
153,977
154,1190
155,843
156,706
157,721
158,748
159,791
160,928
161,1141
162,575
163,954
164,725
165,847
166,727
167,851
168,893
169,635
170,1005
171,1363
172,948
173,692
174,949
175,830
176,773
177,906
178,805
179,819
180,905
181,868
182,817
183,867
184,885
185,778
186,644
187,891
188,916
189,980
190,930
191,676
192,928
193,827
194,1203
195,794
196,846
197,1043
198,-880
199,1221
200,937
201,948
202,1192
203,793
204,973
205,1126
206,1008
207,820
208,981
209,1059
210,460
211,1011
212,547
213,786
214,1054
215,1015
216,727
217,1080
218,987
219,696
220,750
221,1120
222,1053
223,698
224,644
225,570
226,888
227,920
228,792
229,834
230,776
231,1174
232,949
233,355
234,731
235,952
236,874
237,740
238,495
239,852
240,820
241,1005
242,898
243,1178
244,811
245,869
246,827
247,1175
248,1038
249,1114
250,687
251,887
252,963
253,576
254,963
255,601
256,839
257,927
258,742
259,791
260,951
261,801
262,749
263,1033
264,792
265,713
266,1068
267,927
268,698
269,811
270,855
271,912
272,866
273,734
274,776
275,633
276,871
277,679
278,961
279,476
280,395
281,583
282,830
283,908
284,751
285,849
286,991
287,670
288,884
289,860
290,956
291,446
292,921
293,786
294,715
295,864
296,944
297,989
298,1104
299,484
300,459
301,720
302,1071
303,843
304,1027
305,767
306,1048
307,247
308,764
309,817
310,851
311,839
312,1170
313,825
314,775
315,940
316,1143
317,418
318,1032
319,779
320,723
321,752
322,762
323,609
324,984
325,584
326,840
327,906
328,804
329,956
330,527
331,862
332,552
333,814
334,859
335,700
336,1180
337,1023
338,613
339,911
340,934
341,416
342,754
343,883
344,869
345,771
346,859
347,998
348,824
349,915
350,1010
351,857
352,1009
353,805
354,691
355,762
356,1001
357,574
358,944
359,807
360,662
361,882
362,908
363,666
364,1106
365,550
366,852
367,1029
368,789
369,722
370,952
371,652
372,739
373,900
374,756
375,966
376,816
377,981
378,814
379,823
380,824
381,865
382,583
383,1029
384,774
385,440
386,828
387,919
388,758
389,855
390,836
391,909
392,1019
393,754
394,1012
395,814
396,833
397,858
398,897
399,937
400,547
401,990
402,936
403,698
404,614
405,853
406,842
407,852
408,559
409,824
410,897
411,699
412,821
413,918
414,805
415,790
416,820
417,314
418,790
419,819
420,866
421,940
422,930
423,950
424,680
425,852
426,543
427,385
428,670
429,956
430,666
431,780
432,971
433,1053
434,811
435,916
436,722
437,810
438,734
439,682
440,722
441,868
442,-970
443,-4462
444,792
445,746
446,792
447,692
448,752
449,521
450,883
451,813
452,814
453,822
454,743
455,752
456,703
457,711
458,788
459,686
460,822
461,738
462,474
463,957
464,876
465,735
466,1010
467,845
468,802
469,656
470,737
471,581
472,891
473,819
474,552
475,880
476,785
477,760
478,814
479,870
480,757
481,731
482,790
483,723
484,910
485,939
486,758
487,672
488,596
489,616
490,831
491,1044
492,815
493,880
494,819
495,626
496,991
497,687
498,945
499,907
500,605
501,696
502,660
503,1009
504,502
505,889
506,695
