period,fixed_period,interest
2010-06-01,1>5 years,4.45
2010-06-01,5>10 years,4.83
2010-06-01,<= 1 year,3.6
2010-06-01,>10 years,5.12
2010-07-01,1>5 years,4.41
2010-07-01,5>10 years,4.77
2010-07-01,<= 1 year,3.61
2010-07-01,>10 years,5.06
2010-08-01,1>5 years,4.36
2010-08-01,5>10 years,4.7
2010-08-01,<= 1 year,3.62
2010-08-01,>10 years,4.99
2010-09-01,1>5 years,4.29
2010-09-01,5>10 years,4.61
2010-09-01,<= 1 year,3.56
2010-09-01,>10 years,4.92
2010-10-01,1>5 years,4.25
2010-10-01,5>10 years,4.57
2010-10-01,<= 1 year,3.51
2010-10-01,>10 years,4.89
2010-11-01,1>5 years,4.19
2010-11-01,5>10 years,4.51
2010-11-01,<= 1 year,3.54
2010-11-01,>10 years,4.85
2010-12-01,1>5 years,4.16
2010-12-01,5>10 years,4.55
2010-12-01,<= 1 year,3.58
2010-12-01,>10 years,4.9
2011-01-01,1>5 years,4.22
2011-01-01,5>10 years,4.59
2011-01-01,<= 1 year,3.64
2011-01-01,>10 years,4.84
2011-02-01,1>5 years,4.22
2011-02-01,5>10 years,4.66
2011-02-01,<= 1 year,3.6
2011-02-01,>10 years,4.91
2011-03-01,1>5 years,4.33
2011-03-01,5>10 years,4.78
2011-03-01,<= 1 year,3.72
2011-03-01,>10 years,5.03
2011-04-01,1>5 years,4.5
2011-04-01,5>10 years,4.98
2011-04-01,<= 1 year,3.78
2011-04-01,>10 years,5.14
2011-05-01,1>5 years,4.53
2011-05-01,5>10 years,5.08
2011-05-01,<= 1 year,3.89
2011-05-01,>10 years,5.23
2011-06-01,1>5 years,4.54
2011-06-01,5>10 years,5.13
2011-06-01,<= 1 year,3.91
2011-06-01,>10 years,5.24
2011-07-01,1>5 years,4.54
2011-07-01,5>10 years,5.16
2011-07-01,<= 1 year,3.99
2011-07-01,>10 years,5.24
2011-08-01,1>5 years,4.52
2011-08-01,5>10 years,5.09
2011-08-01,<= 1 year,3.98
2011-08-01,>10 years,5.21
2011-09-01,1>5 years,4.37
2011-09-01,5>10 years,4.99
2011-09-01,<= 1 year,4.02
2011-09-01,>10 years,5.15
2011-10-01,1>5 years,4.32
2011-10-01,5>10 years,4.86
2011-10-01,<= 1 year,3.99
2011-10-01,>10 years,5.08
2011-11-01,1>5 years,4.33
2011-11-01,5>10 years,4.76
2011-11-01,<= 1 year,3.99
2011-11-01,>10 years,5.11
2011-12-01,1>5 years,4.34
2011-12-01,5>10 years,4.72
2011-12-01,<= 1 year,4.02
2011-12-01,>10 years,5.06
2012-01-01,1>5 years,4.33
2012-01-01,5>10 years,4.76
2012-01-01,<= 1 year,3.94
2012-01-01,>10 years,5.08
2012-02-01,1>5 years,4.25
2012-02-01,5>10 years,4.83
2012-02-01,<= 1 year,3.95
2012-02-01,>10 years,5.11
2012-03-01,1>5 years,4.18
2012-03-01,5>10 years,4.78
2012-03-01,<= 1 year,3.83
2012-03-01,>10 years,5.12
2012-04-01,1>5 years,4.17
2012-04-01,5>10 years,4.78
